year,month,day,tempavg,DPavg,humidity avg,SLPavg,visibilityavg,windavg,Rainfall
2011,2,13,21,13,60,1009,3,5,0
2011,2,14,21,18,75,1009,3,5,0
2011,2,15,22,18,75,1010,3,10,0
2011,2,16,23,21,86,1011,3,8,0
2011,2,17,23,19,75,1011,3,8,0
2011,2,18,23,19,75,1011,5,8,0
2011,2,19,24,16,57,1012,4,5,0
2011,2,20,24,14,55,1013,4,2,0
2011,2,21,23,16,60,1012,4,5,0
2011,2,22,24,14,52,1012,5,18,0
2011,2,23,24,15,54,1012,5,6,0
2011,2,24,24,15,54,1010,4,6,0
2011,2,25,24,16,59,1009,4,5,0
2011,2,26,24,16,56,1009,3,8,0
2011,2,28,26,9,37,1010,4,21,0
2011,3,1,25,13,50,1009,5,6,0
2011,3,2,24,12,41,1009,4,6,0
2011,3,3,24,14,48,1009,3,6,0
2011,3,4,26,14,49,1009,3,3,0
2011,3,5,27,16,54,1009,4,5,0
2011,3,6,26,19,66,1010,4,5,0
2011,3,7,26,13,43,1010,4,6,0
2011,3,8,24,17,62,1008,4,3,0
2011,3,9,26,15,50,1010,3,5,0
2011,3,10,27,14,48,1010,4,3,0
2011,3,11,26,19,67,1010,4,6,0
2011,3,12,26,18,57,1010,5,6,0
2011,3,13,26,18,60,1010,4,6,0
2011,3,14,26,21,68,1009,4,6,0
2011,3,15,26,18,61,1008,3,6,0
2011,3,16,26,20,73,1007,4,11,0
2011,3,17,22,18,70,1010,5,11,0
2011,3,19,24,21,78,1007,5,16,0
2011,3,20,24,21,75,1007,4,18,0
2011,3,21,26,21,73,1008,5,18,0
2011,3,22,27,22,74,1009,4,11,0
2011,3,23,26,22,74,1009,5,5,0
2011,3,24,26,22,75,1009,4,8,0
2011,3,25,27,23,77,1009,5,10,0
2011,3,26,27,22,72,1009,5,6,0
2011,3,27,26,21,73,1009,4,5,0
2011,3,28,27,21,69,1009,4,8,0
2011,3,29,26,21,79,1010,4,10,0
2011,3,30,24,20,79,1010,5,13,0
2011,3,31,24,21,77,1009,5,14,0
2011,4,1,25,22,77,1009,6,11,0
2011,4,2,27,23,76,1009,5,6,0
2011,4,3,26,23,84,1009,4,2,0
2011,4,4,27,24,83,1009,4,3,0
2011,4,5,27,20,62,1009,5,14,0
2011,4,6,27,20,60,1010,5,10,0
2011,4,7,26,19,62,1010,4,6,0
2011,4,8,26,23,75,1010,4,5,0
2011,4,9,27,23,78,1011,4,5,0
2011,4,10,28,24,77,1012,4,3,0
2011,4,11,28,24,79,1010,3,5,0
2011,4,12,28,24,78,1009,2,5,0
2011,4,13,28,24,80,1009,3,5,0
2011,4,14,28,24,75,1007,4,6,0
2011,4,15,28,24,77,1008,4,6,0
2011,4,16,28,25,78,1008,4,6,0
2011,4,17,28,24,77,1008,4,6,0
2011,4,18,28,24,77,1006,5,3,0
2011,4,19,30,25,76,1006,5,6,0
2011,4,20,28,24,79,1007,5,6,0
2011,4,21,29,24,75,1008,5,6,0
2011,4,22,29,24,75,1008,4,6,0
2011,4,23,29,21,63,1006,5,3,0
2011,4,24,26,23,83,1008,4,11,0
2011,4,25,28,22,69,1008,6,5,0
2011,4,26,28,22,73,1008,4,5,0
2011,4,27,27,23,78,1006,4,6,0
2011,4,28,28,22,71,1004,5,11,0
2011,4,29,26,22,76,1005,5,8,0
2011,4,30,29,24,75,1007,5,6,0
2011,5,1,28,24,75,1006,5,8,0
2011,5,2,28,24,76,1005,6,10,0
2011,5,3,28,24,79,1005,6,11,0
2011,5,4,28,23,74,1005,5,8,0
2011,5,5,27,23,72,1005,6,6,0
2011,5,6,27,24,78,1005,5,6,0
2011,5,7,28,24,78,1004,5,10,0
2011,5,8,28,24,79,1003,5,5,0
2011,5,9,29,24,72,1002,5,6,0
2011,5,10,30,26,79,1002,5,11,0
2011,5,11,27,23,78,1004,5,16,0
2011,5,12,27,23,72,1004,5,6,0
2011,5,13,29,26,79,1004,6,8,0
2011,5,14,27,24,75,1005,5,10,0
2011,5,15,30,26,73,1007,6,11,0
2011,5,16,31,27,77,1009,6,8,0
2011,5,17,30,26,77,1008,5,6,0
2011,5,18,28,24,81,1006,5,5,0
